"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","digital_spend",1,6,0.00433520102891412,0.000596701578117097,"[0, 0.01]",0.00056485273857777,0.00807925156807689,0.00133426529095123,0.00010285787284244
"2","digital_spend",2,22,0.0128442364546555,0.0047718032974567,"[0, 0.06]",0,0.0593336190117799,0.0218671498120352,0.00104109008723081
"3","digital_spend",3,18,0.0054948277518217,0.00225903774457911,"[0, 0.03]",0,0.0257599450028816,0.00931425123315675,0.000448368156254496
"4","digital_spend",4,8,0.00874021521320259,0.00488136858736928,"[0, 0.04]",0,0.041363462933017,0.0129148873398218,0.000678719571845056
"5","digital_spend",5,12,0.00278017429727264,0.000354960096875055,"[0, 0.01]",7.86618585861833e-05,0.00549140311697876,0.00117726945688276,7.84573754763444e-05
"6","digital_spend",6,32,0.0375377491942429,0.00568543774025568,"[0, 0.1]",0,0.103142576334221,0.0316551776372844,0.00168134274352313
"7","radio_spend",1,6,0.0531612662678983,0.00526161012127152,"[0.02, 0.09]",0.0199274857402925,0.0861881399542896,0.011765317902264,0.000906982727459851
"8","radio_spend",2,22,0.0729145879051973,0.0144344845629554,"[0, 0.21]",0,0.214012105002725,0.0661471181274149,0.00349804385108641
"9","radio_spend",3,18,0.0546721266254218,0.0119690730305516,"[0, 0.16]",0,0.161872218477169,0.0493497523456958,0.00263203760776324
"10","radio_spend",4,8,0.114996361363408,0.0533607816535716,"[0, 0.47]",0,0.471408775137549,0.141179358019368,0.00761381304218471
"11","radio_spend",5,12,0.0328796115033426,0.00168979950588106,"[0.02, 0.05]",0.0200930048615548,0.0458605420704296,0.00560443093193543,0.000373498980532785
"12","radio_spend",6,32,0.226378723730707,0.0256281210116516,"[0, 0.52]",0,0.521528038146974,0.142691338854969,0.00815061329148395
"13","search_spend",1,6,0.0298823472503601,0.00130084320571642,"[0.02, 0.04]",0.0216844414501964,0.0380662561141407,0.00290877383605067,0.00022423598319238
"14","search_spend",2,22,0.0226735307031027,0.00254990910192378,"[0, 0.05]",0,0.0476338312188898,0.0116851514748226,0.000717213476449848
"15","search_spend",3,18,0.0267321955906786,0.00236415858042375,"[0.01, 0.05]",0.00546745751064922,0.0477915200213474,0.00974767554279743,0.000624438521174677
"16","search_spend",4,8,0.0152103107919573,0.00347792501090178,"[0, 0.04]",0,0.0384354324755051,0.00920172465737772,0.000574130119093541
"17","search_spend",5,12,0.0155997380078758,0.00110236698245939,"[0.01, 0.02]",0.00719025230901965,0.0240001058682719,0.0036561376620941,0.0002436578675095
"18","search_spend",6,32,0.0276568631080219,0.00508203760422284,"[0, 0.09]",0,0.0863548130962064,0.028295587863354,0.00144389887699914
"19","social_spend",1,6,0.0254035298770877,0.00225880447641158,"[0.01, 0.04]",0.0111121000952292,0.039557739148464,0.00505084035713711,0.000389366866338475
"20","social_spend",2,22,0.0178405826761356,0.00171628643795517,"[0, 0.03]",0.00114527958497779,0.0346274657511502,0.0078650125161557,0.000497093042408927
"21","social_spend",3,18,0.0176562101900024,0.00186502504814959,"[0, 0.03]",0.000881240958761097,0.0342696258900936,0.00768969526794341,0.000492603792598175
"22","social_spend",4,8,0.0166687865531553,0.00593935873549652,"[0, 0.06]",0,0.0563281101920656,0.0157140661613228,0.00088642669206779
"23","social_spend",5,12,0.021603461345643,0.00341780454027621,"[0, 0.05]",0,0.0477326516587352,0.0113355752668693,0.000711149517095695
"24","social_spend",6,32,0.036753673508285,0.00375731759496066,"[0, 0.08]",0,0.0799351792160871,0.0209198590050562,0.00123004946693131
"25","tv_spend",1,6,0.0245850423503744,0.00405016281353924,"[0, 0.05]",0,0.0500158354429549,0.00905643937101554,0.000688168830151374
"26","tv_spend",2,22,0.0342581223254037,0.0102247786624985,"[0, 0.13]",0,0.133910890131895,0.0468558221850688,0.00229921752022255
"27","tv_spend",3,18,0.017828828344114,0.00346657250642256,"[0, 0.05]",0,0.048866789755562,0.0142930446028424,0.000782352312739866
"28","tv_spend",4,8,0.00981937567430092,0.00186870953860166,"[0, 0.02]",0,0.0223205983386406,0.00494414071175425,0.000325342219819688
"29","tv_spend",5,12,0.00945085208634296,0.00107263862262038,"[0, 0.02]",0.00130574073922274,0.0176622703297766,0.00355753984687543,0.000237086962467725
"30","tv_spend",6,32,0.0156101443737663,0.00188264459092052,"[0, 0.04]",0,0.0372970072701551,0.010482121461202,0.000588497476692516
