"","ds","dep_var","trend","season","weekday","holiday","bounce_rate","session_duration","pages_per_session","conversion_rate","tv_spend","digital_spend","social_spend","search_spend","radio_spend","nps_score","intercept","depVarHat","solID","cluster","top_sol"
"1",2022-01-02,69178.37,53833.965613981,-1714.45346108793,4591.732565822,-2374.87006868679,-9759.14499788292,7310.57893946554,11555.8654344723,1620.43965574033,164.223103534822,157.835751409275,43.8903723578026,4.38609534512974,56.7487819051152,3843.2457287713,0,69334.4435151469,"1_42_4",6,FALSE
"2",2022-01-09,71005.51,53833.6298674358,-1492.87396270672,4591.732565822,0,-7381.61617316999,5531.43389600977,9675.20498141109,604.641662589677,166.317087793785,474.047924343599,68.603579783431,9.88951863937545,87.6577652325399,6864.91698465023,0,73033.5856978346,"1_42_4",6,FALSE
"3",2022-01-16,73280.02,53833.2941208906,-1311.1848877488,4591.732565822,0,-6545.2522783105,7885.52073582416,8496.95987828843,2073.92090268259,151.030132665932,486.652996904964,54.311983695147,5.01322474767882,82.9890752657943,5434.29162945113,0,75239.2800801791,"1_42_4",6,FALSE
"4",2022-01-23,68860.09,53832.9583743454,-813.703386384583,4591.732565822,0,-7721.48689448929,6510.59857496164,7114.78773808684,2073.92090268259,146.328607866401,1128.70281396595,99.2682414286166,7.75435682596361,241.229453642384,5827.31576133898,0,73039.4071100929,"1_42_4",6,FALSE
"5",2022-01-30,73977.26,53832.6226288741,-212.052840761648,4591.732565822,0,-7107.52688178345,7689.75834503947,8043.78868477971,1553.92907285547,775.623611340529,985.49483013748,31.9881422327406,12.7473232301381,137.30520098461,6949.31453951395,0,77284.7252222651,"1_42_4",6,FALSE
"6",2022-02-06,77751.71,53832.2868834028,89.129350557275,4591.732565822,0,-8562.54946291541,6069.69228941055,8293.0328412095,2194.84923520053,618.618789574686,425.387176121185,59.5708447373669,9.88981828958839,625.990519380012,7975.50509202655,0,76223.1359428166,"1_42_4",6,FALSE
"7",2022-02-13,84382.98,53831.9511379314,19.3380398423023,4591.732565822,0,-5242.15347583279,8207.55868679068,8746.20403471822,1312.0724078196,219.447815270535,193.994205128528,107.526318887265,6.13112295716505,678.451502335001,8502.62502466544,0,81174.8793863354,"1_42_4",6,FALSE
"8",2022-02-20,71852.82,53831.6153924601,-172.918948121917,4591.732565822,0,-7267.28178304875,6915.17418258332,5981.85975431505,1469.27924009291,352.590415821151,553.216724483157,99.9652847067016,7.3216805814554,624.208994208261,4431.11128489197,0,71417.8747887954,"1_42_4",6,FALSE
"9",2022-02-27,80762.18,53831.2796450666,-299.35652111928,4591.732565822,0,-7560.16576870179,9428.34001022454,9131.39954920063,2134.38506894156,308.662557728451,436.09314345329,81.1089112316014,4.23780663414249,915.05906860611,6580.06710390238,0,79582.8431409903,"1_42_4",6,FALSE
"10",2022-03-06,76240.37,53830.9438976731,-314.552501669413,4591.732565822,0,-6814.64289613041,5827.72291990011,5959.20119463962,1602.30040586264,42.9255164062829,763.334350302684,78.7208091032079,5.71998602185335,372.219023417804,8193.7186685965,0,74139.343939946,"1_42_4",6,FALSE
"11",2022-03-13,77611.45,53830.6081502796,-13.1347903233354,4591.732565822,-451.612846232181,-6540.55360474387,6637.57958520035,10876.1086442092,1904.62123715748,38.350656361304,777.901209205714,119.967224728411,5.19829126054646,167.087972387178,4126.87793703579,0,76070.7322323482,"1_42_4",6,FALSE
"12",2022-03-20,71048.2,53830.2724014227,1014.95815105936,4591.732565822,0,-6593.80523849897,4893.70704458867,6525.66518652551,1662.76457212161,197.83505679239,570.986342303779,263.165889146128,6.96097161702241,414.951367364298,6618.87631691894,0,73998.0706271834,"1_42_4",6,FALSE
"13",2022-03-27,78808.94,53829.9366525657,2807.37522775024,4591.732565822,0,-7267.28178304875,5602.33162672639,8474.30131861299,1735.32157163237,741.551890882325,278.907387297381,77.657812210598,4.68859428796517,245.643573233081,6446.4003521039,0,77568.5667900762,"1_42_4",6,FALSE
"14",2022-04-03,85742.3,53829.6009037087,4490.40588178307,4591.732565822,0,-4780.1172417812,7222.04495732688,9743.1806604374,1759.50723813596,295.732695369391,101.385322699656,262.990662883645,7.08455954280317,181.804989309723,6970.37924731217,0,84675.7324425502,"1_42_4",6,FALSE
"15",2022-04-10,75315.84,53829.2651538958,4736.88548224308,4591.732565822,-3982.42262957309,-8257.1356810847,7942.30946540314,7477.32469289382,1590.20757261085,138.875607974231,389.981728139645,75.5366767262989,4.69321292211831,83.1914159726343,5385.69625420125,0,74006.1415181471,"1_42_4",6,FALSE
"16",2022-04-17,84537.54,53828.9294040828,3082.10617989872,4591.732565822,-365.510460465904,-6446.58013341134,10532.3693492445,8542.2769976393,2079.96731930849,205.604515316241,158.800748305384,5.57217615335969,9.28490349544213,65.5994198330313,4131.36121353936,0,80421.5141987614,"1_42_4",6,FALSE
"17",2022-04-24,71943.57,53828.5936542699,698.983932326568,4591.732565822,0,-7207.76525120481,6212.5459259291,10536.2302490776,1632.53248899213,111.740014571458,141.794206725441,28.6518767648677,5.56952008925273,564.716667062878,3139.92818337048,0,74285.2540337969,"1_42_4",6,FALSE
"18",2022-05-01,78543.3,53828.2579009193,-468.853558543211,4591.732565822,3158.77047243123,-7508.4803594689,5032.32798076594,8950.13107179714,1940.89973691286,125.054348498605,392.874997337028,95.7970004258726,1.46492921832024,652.768992983554,7366.28838488365,0,78159.0344639834,"1_42_4",6,FALSE
"19",2022-05-08,80259.81,53827.9221475686,464.396746262511,4591.732565822,0,-6388.62982608962,7411.81102262807,8564.93555731473,1584.16115598495,175.250064519593,471.720777342751,244.551857975441,1.85719532292089,585.121566524787,7879.05213286595,0,79413.8829640427,"1_42_4",6,FALSE
"20",2022-05-15,72252.78,53827.586394218,2455.02922400228,4591.732565822,0,-6883.55677510759,4757.90790863894,4871.5903302187,1191.14407530166,64.7372274813875,195.718057448135,62.0264717963084,4.87521811236803,351.834267144658,6988.71957571602,0,72479.3445407929,"1_42_4",6,FALSE
"21",2022-05-22,84249.56,53827.2506408674,3626.63787382324,4591.732565822,0,-4498.19682778362,7145.15090112677,6231.10391074485,2376.24173397743,367.799680155077,841.979814845565,116.506609049572,13.4470797617061,398.265251561643,5745.70882123049,0,80783.6280551821,"1_42_4",6,FALSE
"22",2022-05-29,70738.34,53826.9148870171,3187.49755464029,4591.732565822,-5162.63991688294,-7965.81791995386,5640.425929798,9833.81489913914,2176.70998532284,84.9349910637334,1056.79938230315,19.4964342475889,11.165671180165,877.266837842252,3852.87492328845,0,72031.1762248279,"1_42_4",6,FALSE
"23",2022-06-05,78129.47,53826.5791331668,2085.18778076757,4591.732565822,0,-8401.2283371279,6647.4558859967,8972.78963147258,3041.34756282607,33.9286123065752,910.784793609913,235.069567305145,2.79936183752535,476.812353553062,6918.82981071783,0,79342.0887222538,"1_42_4",6,FALSE
"24",2022-06-12,82177.54,53826.2433793165,1739.30977452828,4591.732565822,0,-4916.37877521336,7888.34253605169,9244.69234757781,1426.95432371164,169.166388902701,851.123997714217,209.537109660482,1.41937242579705,421.169276991139,4877.10408565556,0,80330.4163831444,"1_42_4",6,FALSE
"25",2022-06-19,77435.42,53825.9076216355,2357.92398571552,4591.732565822,0,-6538.98738022166,6192.79332433641,9086.08242984976,1832.06423764672,398.139047242459,828.642450516083,71.787301167381,9.97256756339577,1270.5090722633,5234.96811594591,0,79161.5353394828,"1_42_4",6,FALSE
"26",2022-06-26,82774.32,53825.5718639546,2752.57434678749,4591.732565822,0,-5506.84542008608,7665.42031807705,10264.3275329724,1874.389154028,303.100828527293,1009.15184285476,201.195718155299,9.3823370121209,1140.22972747449,5463.10520800356,0,83593.336023583,"1_42_4",6,FALSE
"27",2022-07-03,78727.69,53825.2361062736,1791.1305861042,4591.732565822,0,-6825.60646778587,7581.11903627969,7454.66613321838,2412.52023373281,210.744584250767,946.570750711837,92.9814852681111,17.1262790669421,653.1291850007,6043.97767010432,0,78795.3281480475,"1_42_4",6,FALSE
