"","ds","tv_spend","digital_spend","social_spend","search_spend","radio_spend","nps_score","type","solID","cluster","top_sol"
"1",2022-01-02,17814.09,7628.19,2937.19,2592.92,979.01,27.1,"adstockedMedia","1_12_4",4,FALSE
"2",2022-01-09,17907.2431260331,12738.5685208063,3620.80526793489,5543.71762956458,1180.54540064076,52.763980244304,"adstockedMedia","1_12_4",4,FALSE
"3",2022-01-16,17212.3292476917,12987.148193719,3055.21526262696,2705.94986030134,1120.90689348352,41.8914156982074,"adstockedMedia","1_12_4",4,FALSE
"4",2022-01-23,16991.217267661,22461.9007532891,4586.45840982899,4241.33978634189,1969.63365279986,44.7004594864474,"adstockedMedia","1_12_4",4,FALSE
"5",2022-01-30,36240.0043129722,20154.4698225577,2144.33731804662,7350.83746670161,1413.18340153029,54.7631722530927,"adstockedMedia","1_12_4",4,FALSE
"6",2022-02-06,32169.5859339929,12282.0901080205,3304.93456125334,5336.97901307056,3397.90720862189,65.7207276403403,"adstockedMedia","1_12_4",4,FALSE
"7",2022-02-13,20097.172238159,8563.82568502806,4858.84389061736,3248.57569415093,3508.50707182113,72.325683757482,"adstockedMedia","1_12_4",4,FALSE
"8",2022-02-20,24670.162551555,13913.8385995086,4500.30833026998,3972.45747639344,3276.01617653289,35.5136687619623,"adstockedMedia","1_12_4",4,FALSE
"9",2022-02-27,23262.0944682104,12331.9436069398,3879.30017833538,2338.08439075767,4272.94176731989,51.0499009504117,"adstockedMedia","1_12_4",4,FALSE
"10",2022-03-06,10423.9735388114,16798.5633636302,3839.53177746425,3162.78633500378,2298.8115440116,67.9090682404544,"adstockedMedia","1_12_4",4,FALSE
"11",2022-03-13,9974.05418133854,17041.9592969225,5229.55539591413,2875.11965345484,1444.67792936561,32.9861527318997,"adstockedMedia","1_12_4",4,FALSE
"12",2022-03-20,19242.5883741254,14234.9684137829,13152.9353922642,3816.58921937006,2565.32826404719,51.2335621450478,"adstockedMedia","1_12_4",4,FALSE
"13",2022-03-27,35363.5982192183,10028.9357793073,3219.02536095091,2586.24014982032,1868.92953349043,50.4393213749378,"adstockedMedia","1_12_4",4,FALSE
"14",2022-04-03,22831.8443017962,6513.07311644795,13153.8942280033,3887.76392218767,1587.32046266641,55.3084920351964,"adstockedMedia","1_12_4",4,FALSE
"15",2022-04-10,16632.8095925556,11612.5514744236,3152.04473534518,2587.14684086988,1030.47126348878,41.8105540880945,"adstockedMedia","1_12_4",4,FALSE
"16",2022-04-17,19554.8720593073,7805.56838717542,666.583747934751,5138.46445474164,929.899214991779,31.6871397584007,"adstockedMedia","1_12_4",4,FALSE
"17",2022-04-24,15231.3064927013,7420.96278137262,2227.81720917879,3000.10973608962,3194.71442415997,24.2195854568266,"adstockedMedia","1_12_4",4,FALSE
"18",2022-05-01,15939.681150473,11645.0681052351,4550.02711256652,896.274703822002,3433.21037529094,57.6895111071774,"adstockedMedia","1_12_4",4,FALSE
"19",2022-05-08,18297.9684887027,12789.2156092417,11422.2115999104,1200.22365736592,3149.44337025961,64.7027615456087,"adstockedMedia","1_12_4",4,FALSE
"20",2022-05-15,12252.8801230588,8548.25258354637,2813.06169522603,2788.05565700942,2273.9206853174,56.2580018188749,"adstockedMedia","1_12_4",4,FALSE
"21",2022-05-22,25140.9427700269,17869.0698140534,5092.50595201344,7940.26354345118,2476.8143418593,44.8669597307556,"adstockedMedia","1_12_4",4,FALSE
"22",2022-05-29,13646.7815150473,21258.8250361459,1535.38216198215,6143.22133180884,4178.3766895314,29.8905985926227,"adstockedMedia","1_12_4",4,FALSE
"23",2022-06-05,9507.74360792121,19013.9379197941,10825.9210456401,1488.43989678301,2716.07632699885,53.7236546718778,"adstockedMedia","1_12_4",4,FALSE
"24",2022-06-12,18033.0242783278,18138.8505129211,8635.07283075947,903.511575485738,2530.76495510695,37.6494956866079,"adstockedMedia","1_12_4",4,FALSE
"25",2022-06-19,26058.4127901219,17808.1914951011,3247.75277143088,5623.20441754271,5620.86499879899,39.7017197399641,"adstockedMedia","1_12_4",4,FALSE
"26",2022-06-26,23077.9962114256,20525.4464191213,8563.86116376207,5118.15325748105,5010.59475548352,41.5397672540256,"adstockedMedia","1_12_4",4,FALSE
"27",2022-07-03,19758.2642303228,19567.0673631068,4023.12965646411,11054.551529968,3243.93765334606,46.4425350691866,"adstockedMedia","1_12_4",4,FALSE
"28",2022-07-10,17313.0581894495,12342.1972902817,8118.55840626136,4034.79951573843,3649.27937253573,40.5501313300459,"adstockedMedia","1_12_4",4,FALSE
"29",2022-07-17,15426.5652172675,11665.0962685296,4272.97397021332,2036.86498106532,2042.75414314162,49.0795197476479,"adstockedMedia","1_12_4",4,FALSE
"30",2022-07-24,28872.3634925997,30049.2962136469,3943.52814752499,3069.18792320086,2142.15329376688,42.5845020868424,"adstockedMedia","1_12_4",4,FALSE
"31",2022-07-31,25350.1523083604,13509.6318255551,2750.91826201106,2329.37083191226,3079.02287380075,57.4146264217412,"adstockedMedia","1_12_4",4,FALSE
"32",2022-08-07,18500.2652221388,11124.8633540355,5527.81725048855,5584.9952629735,3216.16397955651,63.8574818479981,"adstockedMedia","1_12_4",4,FALSE
"33",2022-08-14,14424.5430775639,18908.0237639212,4284.23812248612,2810.34396480355,3617.77826351012,53.8187652184673,"adstockedMedia","1_12_4",4,FALSE
"34",2022-08-21,23569.3608810383,12290.1861761341,5334.55304939252,2603.52722066369,4185.8596918474,56.4651625353533,"adstockedMedia","1_12_4",4,FALSE
"35",2022-08-28,31150.8045192602,16562.5247018822,1342.62247476213,1590.37663672697,3896.12752745948,76.7010837656543,"adstockedMedia","1_12_4",4,FALSE
"36",2022-09-04,32391.4041631479,14626.5236623969,7993.41294781477,4605.28261787278,3705.33684319523,40.5343956696158,"adstockedMedia","1_12_4",4,FALSE
"37",2022-09-11,17900.0200335036,10866.5263949875,10068.3886275708,2073.43661273834,3317.61958274347,33.8769277300357,"adstockedMedia","1_12_4",4,FALSE
"38",2022-09-18,16663.2597122931,5814.71015001467,4789.51110663492,3824.83310591969,2057.10896516914,55.880292845926,"adstockedMedia","1_12_4",4,FALSE
"39",2022-09-25,15095.9961242723,11195.9439759221,12533.7495394917,8983.81252465702,3775.43032681113,74.6047425575696,"adstockedMedia","1_12_4",4,FALSE
"40",2022-10-02,16680.1038977958,9038.75542803777,11659.8048297481,2283.13328652166,3072.56755113311,51.1890810667298,"adstockedMedia","1_12_4",4,FALSE
"41",2022-10-09,26438.9986197223,10944.3222887233,6622.81395532853,7140.01887984971,3653.87305784819,71.1319943397032,"adstockedMedia","1_12_4",4,FALSE
"42",2022-10-16,36172.6190767509,14967.527172582,9018.45439833513,4582.69747971356,4387.29446712328,54.9170412350693,"adstockedMedia","1_12_4",4,FALSE
"43",2022-10-23,28025.2832479857,18819.7394722814,7909.78510744921,1855.52055943027,2957.15709800035,42.8460733265305,"adstockedMedia","1_12_4",4,FALSE
"44",2022-10-30,17651.2368196392,13165.1055347788,1444.52919968837,3107.80010707261,2283.35170720321,37.1577130950418,"adstockedMedia","1_12_4",4,FALSE
"45",2022-11-06,18662.3773755474,10295.3487714173,2849.76744808792,4838.33481738823,2041.77071293763,55.7207120730547,"adstockedMedia","1_12_4",4,FALSE
"46",2022-11-13,36564.4929155646,7255.39800394188,5875.53297730032,2277.15032964314,4170.12584755795,40.1784560107995,"adstockedMedia","1_12_4",4,FALSE
"47",2022-11-20,25697.3997508921,16195.7796392594,10224.7320559922,4007.17161801296,2594.36892422345,49.618296453094,"adstockedMedia","1_12_4",4,FALSE
"48",2022-11-27,19218.924517046,29809.6718358709,2055.22520176166,7870.40923949886,4870.06440262641,69.1732507425325,"adstockedMedia","1_12_4",4,FALSE
"49",2022-12-04,17737.4546209984,25719.9203620409,820.419542008098,3288.85211010033,3905.04453090272,49.6943920571569,"adstockedMedia","1_12_4",4,FALSE
"50",2022-12-11,22113.7355752497,25890.3887380126,3285.54525845149,1722.71118451011,3494.52798273101,65.9857854020607,"adstockedMedia","1_12_4",4,FALSE
