"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",74099.0167812457,7706297.74524956,0.980086053703005,74099.0167812457,0.969972857758998,7706297.74524956,0.980086053703005,74099.0167812457,0.969972857758998,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.00927008906436931,68117.2484864577,0.00866314376437805,654.973543139016,0.00857375154208365,68117.2484864577,0.00866314376437805,654.973543139016,0.00857375154208365,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.0379064418379473,42.5449139012229,5.41085721691557e-06,0.409085710588682,5.35502430402699e-06,42.5449139012229,5.41085721691557e-06,0.409085710588682,5.35502430402699e-06,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","weekday",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","holiday",0.0229661384686064,-44.7103499862922,-5.68625712713444e-06,-1.86293124942884,-2.43861906177732e-05,-44.7103499862922,-5.68625712713444e-06,-1.86293124942884,-2.43861906177732e-05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"6","bounce_rate",-1740.89868189852,-82129.5066665857,-0.0104452211350188,0,0,-82129.5066665857,-0.0104452211350188,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"7","session_duration",2.08082059704719,39489.7716743496,0.00502230458274262,379.709343022592,0.00497048102077696,39489.7716743496,0.00502230458274262,379.709343022592,0.00497048102077696,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"8","pages_per_session",111.081311336298,40967.89843394,0.00521029257263996,393.922100326347,0.005156529222459,40967.89843394,0.00521029257263996,393.922100326347,0.005156529222459,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","conversion_rate",5176.43787938851,16887.0932939291,0.00214769856707964,162.375897057011,0.00212553714935976,16887.0932939291,0.00214769856707964,162.375897057011,0.00212553714935976,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"10","tv_spend",293.519480187014,13053.4985705553,0.00166014243466258,125.514409332262,0.00164301195344282,13053.4985705553,0.00166014243466258,125.514409332262,0.00164301195344282,TRUE,0.454681081787487,0.454681081787487,14622.0533653846,1520693.55,NA,NA,0.469696946410406,0.469696946410406,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,4,125.514409332262,34152.0910057167,19530.0376403321,0.00858391131504125,0.00858391131504126,116.497009731186,116.497009731186,1,FALSE,0.0208488834075249,0.006573445871475,0,0.0853621898106206,0.600725055885314
